onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	TR
5.825	2.0	1-back	1.0	1.0	0.642	v	BL
7.841	2.0	1-back	0.0	1.0	0.558	p	TR
9.857	2.0	1-back	0.0	1.0	0.839	g	BL
11.872	2.0	1-back	1.0	1.0	0.545	g	TL
13.888	2.0	1-back	0.0	1.0	0.428	z	BR
15.904	2.0	1-back	0.0	1.0	0.505	l	TL
17.92	2.0	1-back	0.0	1.0	0.577	t	BL
19.935	2.0	1-back	1.0	1.0	0.674	t	TR
21.951	2.0	1-back	0.0	1.0	0.387	s	BR
23.967	2.0	1-back	0.0	1.0	0.543	l	TL
25.982	2.0	1-back	0.0	1.0	0.488	x	BR
27.998	2.0	1-back	1.0	0.0	0.579	x	TR
30.014	2.0	1-back	1.0	1.0	0.768	x	TL
32.03	2.0	1-back	0.0	1.0	0.63	s	TR
34.045	2.0	1-back	1.0	1.0	0.726	s	BL
36.061	2.0	1-back	0.0	1.0	0.417	n	TR
38.077	2.0	1-back	0.0	1.0	0.56	r	TL
40.092	2.0	1-back	0.0	0.0	0.628	s	TR
42.108	2.0	1-back	0.0	1.0	0.61	t	BL
44.124	2.0	1-back	1.0	1.0	0.694	t	TR
46.14	2.0	1-back	0.0	1.0	0.526	l	BR
48.155	2.0	1-back	0.0	1.0	0.62	r	BL
50.171	2.0	1-back	0.0	1.0	0.752	f	TL
52.187	2.0	1-back	1.0	1.0	0.86	f	BL
54.203	2.0	1-back	0.0	1.0	0.314	z	BR
56.218	2.0	1-back	1.0	1.0	0.511	z	BL
58.234	2.0	1-back	0.0	1.0	0.48	c	TL
60.25	2.0	1-back	1.0	1.0	0.575	c	TR
62.265	2.0	1-back	0.0	1.0	0.604	p	BR
64.281	2.0	1-back	1.0	1.0	0.502	p	BL
66.297	2.0	1-back	0.0	1.0	0.42	n	TL
68.313	2.0	1-back	1.0	1.0	0.645	n	TR
