onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.8	no_response	n/a	1.0	n/a	c	TR
5.82	2.0	1-back	0.0	1.0	0.928	g	BL
7.826	2.0	1-back	0.0	1.0	0.591	p	TR
9.832	2.0	1-back	1.0	0.0	0.25	p	BL
11.838	2.0	1-back	0.0	1.0	0.557	t	TL
13.844	2.0	1-back	0.0	1.0	0.597	v	BR
15.85	2.0	1-back	1.0	1.0	0.564	v	TL
17.856	2.0	1-back	0.0	1.0	0.521	s	BL
19.862	2.0	1-back	1.0	1.0	0.632	s	TR
21.868	2.0	1-back	0.0	1.0	0.389	x	BR
23.874	2.0	1-back	0.0	1.0	0.609	n	TL
25.88	2.0	1-back	1.0	1.0	0.641	n	BR
27.886	2.0	1-back	0.0	1.0	0.596	f	TR
29.892	2.0	1-back	1.0	1.0	0.649	f	TL
31.898	2.0	1-back	0.0	1.0	0.508	l	TR
33.904	2.0	1-back	0.0	1.0	0.574	r	BL
35.91	2.0	1-back	0.0	1.0	0.594	z	TR
37.916	2.0	1-back	1.0	1.0	0.74	z	TL
39.922	2.0	1-back	0.0	1.0	0.554	c	TR
41.928	2.0	1-back	1.0	0.0	n/a	c	BL
43.934	2.0	1-back	0.0	1.0	0.566	g	TR
45.94	2.0	1-back	1.0	1.0	0.53	g	BR
47.946	2.0	1-back	0.0	1.0	0.467	x	BL
49.952	2.0	1-back	0.0	1.0	0.443	t	TL
51.958	2.0	1-back	1.0	1.0	0.498	t	BL
53.964	2.0	1-back	0.0	1.0	0.297	r	BR
55.97	2.0	1-back	0.0	1.0	0.491	p	BL
57.976	2.0	1-back	0.0	1.0	0.692	v	TL
59.982	2.0	1-back	0.0	1.0	0.538	s	TR
61.988	2.0	1-back	1.0	1.0	0.578	s	BR
63.994	2.0	1-back	0.0	1.0	0.337	x	BL
66.0	2.0	1-back	1.0	1.0	0.513	x	TL
68.006	2.0	1-back	0.0	1.0	0.364	l	TR
70.012	2.0	1-back	1.0	1.0	0.485	l	BL
72.018	2.0	1-back	0.0	1.0	0.246	n	BR
74.024	2.0	1-back	1.0	1.0	0.342	n	TL
76.031	2.0	1-back	0.0	1.0	0.277	z	BR
78.037	2.0	1-back	1.0	1.0	0.241	z	TL
80.043	2.0	1-back	0.0	1.0	0.299	c	BR
82.049	2.0	1-back	0.0	1.0	0.578	g	BL
84.055	2.0	1-back	0.0	1.0	0.597	p	TL
86.061	2.0	1-back	0.0	1.0	0.761	t	TR
88.067	2.0	1-back	0.0	1.0	0.607	v	BR
90.073	2.0	1-back	0.0	1.0	0.556	f	TL
92.079	2.0	1-back	1.0	1.0	0.576	f	TR
94.085	2.0	1-back	0.0	1.0	0.453	l	BR
96.091	2.0	1-back	0.0	1.0	0.838	r	BL
98.097	2.0	1-back	1.0	1.0	0.874	r	BR
104.133	2.0	baseline	1.0	1.0	0.39	redcross.bmp	n/a
106.173	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.212	2.0	baseline	1.0	1.0	0.52	redcross.bmp	n/a
110.252	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.291	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.331	2.0	baseline	1.0	1.0	0.614	redcross.bmp	n/a
116.37	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.409	2.0	baseline	1.0	1.0	0.32	redcross.bmp	n/a
120.449	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.488	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.528	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.584	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.617	1.8	no_response	n/a	1.0	n/a	r	TR
134.422	1.8	no_response	n/a	1.0	n/a	p	BL
136.228	2.0	2-back	0.0	1.0	0.857	s	BL
138.234	2.0	2-back	1.0	1.0	0.602	p	TR
140.24	2.0	2-back	0.0	1.0	0.542	c	TL
142.246	2.0	2-back	0.0	1.0	0.827	g	TL
144.252	2.0	2-back	1.0	1.0	0.658	c	BL
146.258	2.0	2-back	0.0	1.0	0.554	f	TR
148.264	2.0	2-back	0.0	1.0	0.762	x	TR
150.27	2.0	2-back	0.0	1.0	0.654	z	TL
152.276	2.0	2-back	1.0	1.0	0.671	x	BR
154.282	2.0	2-back	0.0	1.0	0.6	g	BL
156.288	2.0	2-back	0.0	1.0	0.715	v	TL
158.294	2.0	2-back	1.0	1.0	0.613	g	TL
160.3	2.0	2-back	1.0	0.0	0.618	v	TR
162.306	2.0	2-back	0.0	1.0	1.185	z	BR
164.312	2.0	2-back	0.0	0.0	0.765	n	TL
166.318	2.0	2-back	1.0	1.0	0.944	z	TL
168.324	2.0	2-back	0.0	1.0	0.756	s	BL
