onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.034	1.8	no_response	n/a	1.0	n/a	v	TR
5.839	2.0	1-back	1.0	1.0	0.662	v	BL
7.862	2.0	1-back	0.0	1.0	0.83	p	TR
9.885	2.0	1-back	0.0	0.0	0.661	g	BL
11.908	2.0	1-back	1.0	1.0	0.758	g	TL
13.931	2.0	1-back	0.0	1.0	0.464	z	BR
15.954	2.0	1-back	0.0	1.0	0.587	l	TL
17.977	2.0	1-back	0.0	1.0	0.581	t	BL
20.0	2.0	1-back	1.0	1.0	0.551	t	TR
22.023	2.0	1-back	0.0	1.0	0.535	s	BR
24.046	2.0	1-back	0.0	1.0	0.618	l	TL
26.069	2.0	1-back	0.0	1.0	0.542	x	BR
28.092	2.0	1-back	1.0	1.0	0.789	x	TR
30.115	2.0	1-back	1.0	1.0	0.781	x	TL
32.138	2.0	1-back	0.0	1.0	0.505	s	TR
34.161	2.0	1-back	1.0	1.0	0.683	s	BL
36.184	2.0	1-back	0.0	1.0	0.568	n	TR
38.207	2.0	1-back	0.0	1.0	0.912	r	TL
40.23	2.0	1-back	0.0	1.0	1.017	s	TR
42.253	2.0	1-back	0.0	1.0	0.787	t	BL
44.276	2.0	1-back	1.0	1.0	0.63	t	TR
46.299	2.0	1-back	0.0	1.0	0.536	l	BR
48.322	2.0	1-back	0.0	1.0	0.565	r	BL
50.345	2.0	1-back	0.0	1.0	0.452	f	TL
52.368	2.0	1-back	1.0	1.0	0.467	f	BL
54.391	2.0	1-back	0.0	1.0	0.493	z	BR
56.414	2.0	1-back	1.0	1.0	0.756	z	BL
58.437	2.0	1-back	0.0	1.0	0.551	c	TL
60.46	2.0	1-back	1.0	1.0	0.728	c	TR
62.483	2.0	1-back	0.0	1.0	0.568	p	BR
64.506	2.0	1-back	1.0	1.0	0.662	p	BL
66.529	2.0	1-back	0.0	1.0	0.458	n	TL
68.551	2.0	1-back	1.0	1.0	0.419	n	TR
70.574	2.0	1-back	0.0	1.0	0.419	f	BL
72.597	2.0	1-back	1.0	1.0	0.638	f	BR
74.62	2.0	1-back	0.0	1.0	0.563	l	TL
76.643	2.0	1-back	0.0	1.0	0.673	r	BR
78.666	2.0	1-back	1.0	1.0	0.74	r	TL
