onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.025	1.8	no_response	n/a	1.0	n/a	v	BL
5.824	1.8	no_response	n/a	1.0	n/a	c	BR
7.624	2.0	2-back	1.0	1.0	0.424	g	BL
9.623	2.0	2-back	0.0	1.0	0.635	p	TR
11.622	2.0	2-back	0.0	0.0	0.898	n	TL
13.621	2.0	2-back	1.0	1.0	0.738	x	TR
15.62	2.0	2-back	0.0	1.0	0.722	p	BL
17.619	2.0	2-back	0.0	1.0	0.827	c	TL
19.618	2.0	2-back	0.0	0.0	0.773	l	TL
21.617	2.0	2-back	0.0	1.0	0.934	v	TR
23.616	2.0	2-back	1.0	1.0	1.119	x	TL
25.615	2.0	2-back	1.0	1.0	0.754	g	TR
27.614	2.0	2-back	0.0	1.0	0.501	t	BR
29.613	2.0	2-back	0.0	1.0	0.744	z	BL
31.612	2.0	2-back	1.0	0.0	0.615	n	BR
33.612	2.0	2-back	0.0	1.0	0.911	f	TR
35.611	2.0	2-back	0.0	0.0	n/a	x	TL
37.61	2.0	2-back	0.0	1.0	0.618	n	BL
39.609	2.0	2-back	1.0	1.0	0.795	t	TL
41.608	2.0	2-back	0.0	1.0	0.541	l	BR
43.607	2.0	2-back	0.0	1.0	0.625	r	BL
45.606	2.0	2-back	1.0	1.0	0.763	f	BR
47.605	2.0	2-back	0.0	1.0	1.001	s	BR
49.604	2.0	2-back	0.0	1.0	0.846	v	TL
51.603	2.0	2-back	0.0	1.0	0.782	n	TR
53.602	2.0	2-back	1.0	1.0	0.944	p	TL
55.601	2.0	2-back	0.0	1.0	0.741	s	BL
57.6	2.0	2-back	0.0	1.0	0.804	g	BR
59.599	2.0	2-back	1.0	0.0	0.785	f	BL
61.598	2.0	2-back	0.0	1.0	0.594	r	TR
63.598	2.0	2-back	0.0	1.0	1.041	s	TL
65.597	2.0	2-back	0.0	1.0	0.948	z	BL
67.596	2.0	2-back	1.0	0.0	n/a	c	TL
69.595	2.0	2-back	0.0	0.0	n/a	r	BR
71.594	2.0	2-back	0.0	1.0	0.762	v	TR
73.593	2.0	2-back	1.0	1.0	1.116	l	BR
75.592	2.0	2-back	1.0	0.0	n/a	c	TR
77.591	2.0	2-back	0.0	1.0	0.607	s	BL
79.59	2.0	2-back	0.0	0.0	n/a	t	TL
81.589	2.0	2-back	0.0	0.0	0.94	r	TR
83.588	2.0	2-back	0.0	0.0	n/a	z	BL
85.587	2.0	2-back	1.0	0.0	n/a	l	TR
87.586	2.0	2-back	1.0	0.0	n/a	x	BL
89.585	2.0	2-back	0.0	0.0	n/a	f	BR
91.585	2.0	2-back	0.0	1.0	0.631	p	TR
93.584	2.0	2-back	1.0	1.0	0.677	g	BR
95.583	2.0	2-back	0.0	1.0	0.762	t	BL
97.582	2.0	2-back	1.0	1.0	0.699	z	BR
103.629	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.678	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.727	2.0	baseline	1.0	1.0	0.48	redcross.bmp	n/a
109.776	2.0	baseline	1.0	1.0	0.55	redcross.bmp	n/a
111.825	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.874	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
115.923	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.972	2.0	baseline	1.0	1.0	0.466	redcross.bmp	n/a
120.021	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.07	2.0	baseline	1.0	1.0	0.376	redcross.bmp	n/a
124.119	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.168	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.216	1.8	no_response	n/a	1.0	n/a	l	TR
134.015	2.0	1-back	1.0	1.0	0.565	x	TR
136.014	2.0	1-back	0.0	1.0	0.544	l	BL
138.013	2.0	1-back	1.0	1.0	0.832	s	BL
140.012	2.0	1-back	0.0	1.0	0.707	g	TL
142.011	2.0	1-back	0.0	1.0	0.853	r	BR
144.01	2.0	1-back	0.0	0.0	n/a	s	TL
146.009	2.0	1-back	0.0	1.0	1.026	z	BL
148.008	2.0	1-back	0.0	0.0	n/a	t	TR
150.007	2.0	1-back	1.0	1.0	0.658	x	TR
152.006	2.0	1-back	0.0	1.0	0.868	n	BR
154.005	2.0	1-back	0.0	1.0	0.798	l	TL
156.004	2.0	1-back	1.0	1.0	0.74	g	TL
158.004	2.0	1-back	0.0	1.0	0.574	r	BR
160.003	2.0	1-back	1.0	1.0	0.729	p	BR
162.002	2.0	1-back	0.0	1.0	0.528	z	TR
164.001	2.0	1-back	0.0	1.0	0.743	r	BL
166.0	2.0	1-back	1.0	1.0	0.553	x	BL
167.999	2.0	1-back	0.0	1.0	0.626	p	TR
169.998	2.0	1-back	0.0	1.0	0.65	c	BL
171.997	2.0	1-back	0.0	0.0	1.102	f	TR
173.996	2.0	1-back	1.0	0.0	0.955	l	TR
175.995	2.0	1-back	1.0	1.0	0.816	t	TR
177.994	2.0	1-back	0.0	1.0	0.622	f	TL
179.993	2.0	1-back	0.0	1.0	0.69	r	BL
181.992	2.0	1-back	1.0	1.0	0.593	s	BL
183.991	2.0	1-back	0.0	1.0	0.695	f	TR
185.99	2.0	1-back	0.0	1.0	0.771	c	BR
187.99	2.0	1-back	1.0	1.0	0.58	z	BR
189.989	2.0	1-back	0.0	1.0	0.896	v	BL
191.988	2.0	1-back	0.0	1.0	0.831	p	TL
193.987	2.0	1-back	1.0	0.0	0.469	t	TL
