onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	1.033	r	TL
5.825	1.8	no_response	n/a	0.0	0.976	p	TR
7.624	2.0	2-back	0.0	1.0	0.867	x	BL
9.64	2.0	2-back	1.0	0.0	n/a	t	TR
11.655	2.0	2-back	0.0	1.0	0.752	g	TL
13.671	2.0	2-back	0.0	1.0	0.818	n	BL
15.687	2.0	2-back	1.0	1.0	0.699	z	TL
17.703	2.0	2-back	0.0	1.0	0.506	c	TR
19.718	2.0	2-back	0.0	1.0	0.574	v	BR
21.734	2.0	2-back	0.0	1.0	0.684	n	BL
23.75	2.0	2-back	1.0	1.0	1.036	g	BR
25.765	2.0	2-back	0.0	1.0	0.472	s	TL
27.781	2.0	2-back	0.0	1.0	0.659	v	TR
29.797	2.0	2-back	1.0	1.0	0.644	l	TL
31.813	2.0	2-back	1.0	1.0	0.834	f	TR
33.828	2.0	2-back	0.0	1.0	0.602	s	BR
35.844	2.0	2-back	0.0	1.0	0.707	c	TL
37.86	2.0	2-back	0.0	1.0	0.733	r	BL
39.876	2.0	2-back	1.0	1.0	1.165	s	TL
41.891	2.0	2-back	0.0	1.0	0.577	l	BR
43.907	2.0	2-back	0.0	1.0	0.97	z	BL
45.923	2.0	2-back	1.0	1.0	0.888	x	BR
47.938	2.0	2-back	0.0	1.0	0.438	f	TL
49.954	2.0	2-back	0.0	0.0	n/a	t	TL
51.97	2.0	2-back	0.0	1.0	0.748	x	TR
53.986	2.0	2-back	1.0	1.0	0.846	r	TL
56.001	2.0	2-back	0.0	1.0	0.655	l	BR
58.017	2.0	2-back	0.0	1.0	0.832	n	BL
60.033	2.0	2-back	1.0	0.0	0.951	s	BR
62.049	2.0	2-back	0.0	1.0	1.089	f	BR
64.064	2.0	2-back	0.0	0.0	n/a	g	BL
66.08	2.0	2-back	0.0	1.0	0.376	p	TR
68.096	2.0	2-back	1.0	0.0	0.4	v	BL
70.112	2.0	2-back	0.0	1.0	0.311	t	BR
72.127	2.0	2-back	1.0	1.0	0.701	t	BL
74.143	2.0	2-back	0.0	1.0	0.327	z	TL
76.159	2.0	2-back	0.0	1.0	0.7	f	TR
78.174	2.0	2-back	1.0	1.0	0.702	p	TL
80.19	2.0	2-back	1.0	0.0	0.283	g	TR
82.206	2.0	2-back	0.0	1.0	0.369	c	BL
84.222	2.0	2-back	1.0	0.0	0.351	r	TR
86.237	2.0	2-back	0.0	1.0	0.284	p	BR
88.253	2.0	2-back	0.0	0.0	0.535	x	TL
90.269	2.0	2-back	0.0	1.0	0.122	l	TR
92.285	2.0	2-back	0.0	1.0	0.374	z	BL
94.3	2.0	2-back	0.0	1.0	0.732	c	BR
96.316	2.0	2-back	1.0	1.0	0.631	n	BL
98.332	2.0	2-back	1.0	0.0	0.424	v	BR
104.395	2.0	baseline	1.0	1.0	0.545	redcross.bmp	n/a
106.444	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.494	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.543	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.592	2.0	baseline	1.0	1.0	0.554	redcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.739	2.0	baseline	1.0	1.0	0.437	redcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.886	2.0	baseline	1.0	1.0	0.489	redcross.bmp	n/a
126.935	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.982	1.8	no_response	n/a	0.0	0.896	t	TR
134.782	2.0	1-back	0.0	1.0	0.717	c	BR
136.797	2.0	1-back	0.0	1.0	0.737	n	BL
138.813	2.0	1-back	1.0	1.0	0.695	l	BL
140.829	2.0	1-back	0.0	1.0	0.578	g	TR
142.845	2.0	1-back	0.0	1.0	0.694	f	TL
144.86	2.0	1-back	1.0	1.0	0.658	p	TL
146.876	2.0	1-back	0.0	1.0	0.691	x	TR
148.892	2.0	1-back	1.0	0.0	0.688	n	TR
150.907	2.0	1-back	0.0	0.0	0.799	s	TL
152.923	2.0	1-back	0.0	1.0	0.44	r	BR
154.939	2.0	1-back	1.0	0.0	n/a	v	BR
156.955	2.0	1-back	0.0	1.0	0.668	l	TL
158.97	2.0	1-back	1.0	1.0	0.746	z	TL
160.986	2.0	1-back	0.0	1.0	0.704	c	TR
163.002	2.0	1-back	0.0	1.0	0.857	f	BL
165.018	2.0	1-back	0.0	0.0	1.129	p	TR
167.033	2.0	1-back	1.0	1.0	1.098	t	TR
169.049	2.0	1-back	0.0	1.0	0.701	g	BL
171.065	2.0	1-back	1.0	1.0	0.789	x	BL
173.08	2.0	1-back	0.0	1.0	0.45	c	TR
175.096	2.0	1-back	1.0	1.0	0.767	p	TR
177.112	2.0	1-back	0.0	1.0	0.581	z	TL
179.128	2.0	1-back	0.0	1.0	0.727	r	BL
181.143	2.0	1-back	1.0	1.0	0.72	n	BL
183.159	2.0	1-back	0.0	1.0	0.506	z	BR
185.175	2.0	1-back	0.0	1.0	0.83	f	BL
187.191	2.0	1-back	0.0	1.0	1.05	s	TL
189.206	2.0	1-back	0.0	1.0	0.797	v	BR
191.222	2.0	1-back	1.0	1.0	0.781	c	BR
193.238	2.0	1-back	0.0	1.0	0.655	z	TL
195.254	2.0	1-back	1.0	1.0	0.654	r	TL
197.269	2.0	1-back	0.0	1.0	0.635	l	TR
199.285	2.0	1-back	1.0	1.0	0.906	n	TR
201.301	2.0	1-back	0.0	1.0	0.575	v	BR
203.316	2.0	1-back	1.0	1.0	0.751	f	BR
205.332	2.0	1-back	0.0	1.0	0.488	r	TL
207.348	2.0	1-back	1.0	1.0	0.655	l	TL
209.364	2.0	1-back	0.0	1.0	0.509	x	BR
211.379	2.0	1-back	0.0	1.0	0.654	s	BL
213.395	2.0	1-back	0.0	1.0	0.718	g	TL
215.411	2.0	1-back	0.0	1.0	0.622	t	BL
217.427	2.0	1-back	0.0	1.0	0.458	p	BR
219.442	2.0	1-back	0.0	1.0	0.383	s	BL
221.458	2.0	1-back	1.0	1.0	0.573	x	BL
223.474	2.0	1-back	0.0	1.0	0.425	v	TR
225.49	2.0	1-back	0.0	1.0	0.392	t	BR
227.505	2.0	1-back	1.0	0.0	0.475	g	BR
233.569	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.618	2.0	baseline	1.0	1.0	0.872	redcross.bmp	n/a
237.667	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.716	2.0	baseline	1.0	1.0	0.316	redcross.bmp	n/a
241.765	2.0	baseline	1.0	1.0	0.477	redcross.bmp	n/a
243.814	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.863	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.912	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.961	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.01	2.0	baseline	1.0	1.0	0.617	redcross.bmp	n/a
254.059	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
256.108	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
