onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	c	BL
5.825	1.8	no_response	n/a	0.0	0.38	l	TR
7.624	2.0	2-back	1.0	1.0	0.807	v	BL
9.624	2.0	2-back	1.0	1.0	0.923	p	TR
11.623	2.0	2-back	0.0	1.0	0.682	r	TL
13.622	2.0	2-back	0.0	1.0	0.976	t	BR
15.621	2.0	2-back	1.0	1.0	0.761	n	TL
17.62	2.0	2-back	0.0	1.0	0.737	s	TR
19.619	2.0	2-back	0.0	1.0	0.802	f	BL
21.618	2.0	2-back	1.0	1.0	0.946	x	TR
23.617	2.0	2-back	0.0	1.0	0.849	v	BR
25.616	2.0	2-back	0.0	0.0	n/a	p	TL
27.615	2.0	2-back	1.0	0.0	1.153	f	BR
29.614	2.0	2-back	1.0	0.0	n/a	n	TL
31.613	2.0	2-back	0.0	0.0	n/a	x	TR
33.612	2.0	2-back	1.0	0.0	n/a	t	TL
35.611	2.0	2-back	0.0	1.0	0.525	s	BL
37.611	2.0	2-back	0.0	1.0	0.538	l	TR
39.61	2.0	2-back	1.0	0.0	0.53	f	BL
41.609	2.0	2-back	1.0	0.0	0.514	c	TR
43.608	2.0	2-back	0.0	1.0	0.853	r	TL
45.607	2.0	2-back	1.0	0.0	0.845	g	TR
47.606	2.0	2-back	0.0	0.0	0.771	s	BL
49.605	2.0	2-back	0.0	1.0	0.475	r	BR
51.604	2.0	2-back	1.0	0.0	0.848	v	BL
53.603	2.0	2-back	0.0	1.0	0.999	p	BL
55.602	2.0	2-back	0.0	1.0	0.742	t	TL
57.601	2.0	2-back	1.0	0.0	1.033	x	BL
59.6	2.0	2-back	0.0	1.0	0.898	z	BR
61.599	2.0	2-back	0.0	1.0	0.761	t	TR
63.598	2.0	2-back	0.0	1.0	0.809	g	TL
65.598	2.0	2-back	1.0	1.0	0.681	c	TR
67.597	2.0	2-back	0.0	1.0	0.841	p	BL
69.596	2.0	2-back	0.0	1.0	0.873	s	BR
71.595	2.0	2-back	0.0	0.0	1.046	v	TL
73.594	2.0	2-back	1.0	1.0	1.115	n	BR
75.593	2.0	2-back	0.0	1.0	0.918	c	BL
77.592	2.0	2-back	0.0	1.0	0.849	l	TL
79.591	2.0	2-back	0.0	1.0	0.899	x	BR
81.59	2.0	2-back	1.0	1.0	0.745	z	TL
83.589	2.0	2-back	0.0	1.0	0.751	g	TR
85.588	2.0	2-back	0.0	1.0	0.858	f	BR
87.587	2.0	2-back	0.0	0.0	0.91	z	TL
89.586	2.0	2-back	1.0	0.0	0.437	l	BR
91.586	2.0	2-back	0.0	1.0	0.654	r	TR
93.585	2.0	2-back	1.0	1.0	0.526	z	BR
95.584	2.0	2-back	0.0	1.0	0.512	n	BL
97.583	2.0	2-back	1.0	0.0	0.447	g	BR
103.63	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.679	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.728	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.777	2.0	baseline	1.0	1.0	0.436	redcross.bmp	n/a
111.826	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.875	2.0	baseline	1.0	1.0	0.381	redcross.bmp	n/a
115.924	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.973	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.022	2.0	baseline	1.0	1.0	0.408	redcross.bmp	n/a
122.071	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.12	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.169	2.0	baseline	1.0	1.0	0.425	redcross.bmp	n/a
132.217	1.8	no_response	n/a	0.0	0.867	p	TR
134.016	2.0	1-back	0.0	1.0	0.794	f	BL
136.015	2.0	1-back	1.0	1.0	0.731	n	BL
138.014	2.0	1-back	0.0	1.0	0.777	x	TR
140.013	2.0	1-back	0.0	1.0	0.726	c	TL
142.012	2.0	1-back	1.0	1.0	0.727	p	TL
144.011	2.0	1-back	0.0	1.0	0.765	n	BL
146.01	2.0	1-back	0.0	1.0	0.723	c	TR
