onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	1.375	z	TR
5.825	1.8	no_response	n/a	0.0	0.842	n	BL
7.624	2.0	2-back	0.0	1.0	0.576	g	BL
9.64	2.0	2-back	0.0	1.0	0.61	p	TR
11.656	2.0	2-back	1.0	0.0	0.434	g	TL
13.671	2.0	2-back	0.0	1.0	0.659	s	TL
15.687	2.0	2-back	0.0	0.0	0.369	f	BL
17.703	2.0	2-back	1.0	1.0	1.042	s	TR
19.718	2.0	2-back	1.0	1.0	0.973	f	TR
21.734	2.0	2-back	0.0	1.0	0.707	c	TL
23.75	2.0	2-back	0.0	1.0	0.634	x	BR
25.766	2.0	2-back	1.0	0.0	0.59	c	BL
27.781	2.0	2-back	0.0	1.0	0.611	l	TL
29.797	2.0	2-back	0.0	0.0	0.681	v	TL
31.813	2.0	2-back	0.0	1.0	0.749	p	TR
33.829	2.0	2-back	1.0	0.0	0.592	v	BR
35.844	2.0	2-back	0.0	1.0	0.719	c	TL
37.86	2.0	2-back	0.0	1.0	0.786	s	TL
39.876	2.0	2-back	0.0	0.0	n/a	t	BL
41.892	2.0	2-back	0.0	0.0	0.872	x	BR
43.907	2.0	2-back	1.0	1.0	0.919	t	TL
45.923	2.0	2-back	0.0	1.0	0.637	r	BL
47.939	2.0	2-back	0.0	0.0	0.834	n	BR
49.954	2.0	2-back	1.0	0.0	0.534	r	BR
51.97	2.0	2-back	0.0	1.0	0.429	l	TR
53.986	2.0	2-back	0.0	0.0	n/a	v	BL
56.002	2.0	2-back	1.0	0.0	0.514	l	BR
58.017	2.0	2-back	1.0	0.0	0.003	v	TR
60.033	2.0	2-back	0.0	1.0	0.678	s	BL
62.049	2.0	2-back	0.0	0.0	n/a	t	BR
64.065	2.0	2-back	0.0	1.0	0.066	c	BR
66.08	2.0	2-back	1.0	1.0	0.665	t	TR
68.096	2.0	2-back	0.0	0.0	n/a	n	TL
70.112	2.0	2-back	0.0	1.0	0.968	l	BR
72.128	2.0	2-back	1.0	0.0	0.642	n	TR
74.143	2.0	2-back	0.0	0.0	n/a	p	TL
76.159	2.0	2-back	0.0	1.0	0.401	x	BL
78.175	2.0	2-back	1.0	0.0	0.275	p	TR
80.19	2.0	2-back	0.0	1.0	0.444	f	BR
82.206	2.0	2-back	0.0	1.0	0.369	z	TL
84.222	2.0	2-back	1.0	0.0	0.343	f	TR
86.238	2.0	2-back	0.0	1.0	0.219	r	BL
88.253	2.0	2-back	0.0	1.0	0.383	x	BR
90.269	2.0	2-back	1.0	0.0	n/a	r	TR
92.285	2.0	2-back	0.0	1.0	0.065	g	BL
94.301	2.0	2-back	0.0	0.0	n/a	z	BL
96.316	2.0	2-back	1.0	0.0	n/a	g	TL
98.332	2.0	2-back	1.0	0.0	n/a	z	BR
104.396	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.445	2.0	baseline	1.0	1.0	0.485	redcross.bmp	n/a
108.494	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.543	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.592	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	1.0	1.0	0.51	redcross.bmp	n/a
118.739	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.886	2.0	baseline	1.0	1.0	0.898	redcross.bmp	n/a
126.935	2.0	baseline	1.0	1.0	0.644	redcross.bmp	n/a
132.983	1.8	no_response	n/a	0.0	0.902	l	TR
134.782	2.0	1-back	1.0	1.0	0.969	l	BL
136.798	2.0	1-back	0.0	1.0	0.665	s	TR
138.813	2.0	1-back	0.0	1.0	0.818	z	BL
140.829	2.0	1-back	0.0	0.0	n/a	t	TL
142.845	2.0	1-back	0.0	1.0	0.869	x	BR
144.86	2.0	1-back	1.0	1.0	0.952	x	TL
146.876	2.0	1-back	0.0	1.0	0.756	n	BL
148.892	2.0	1-back	0.0	1.0	0.854	s	TR
150.908	2.0	1-back	0.0	1.0	0.869	l	BR
152.923	2.0	1-back	1.0	0.0	0.98	l	TL
154.939	2.0	1-back	0.0	1.0	0.667	g	BR
156.955	2.0	1-back	1.0	1.0	0.93	g	TR
158.971	2.0	1-back	0.0	1.0	0.466	r	TL
160.986	2.0	1-back	1.0	0.0	0.859	r	TR
163.002	2.0	1-back	0.0	1.0	0.885	x	BL
165.018	2.0	1-back	0.0	0.0	0.916	p	TR
167.033	2.0	1-back	1.0	0.0	1.131	p	TL
169.049	2.0	1-back	0.0	0.0	n/a	c	TR
