onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position	task
195.986	2	1-back	0.0	1	0.687	l	TR	VLD
197.985	2	1-back	1.0	0	0.356	l	BL	VLD
199.984	2	1-back	0.0	1	0.194	n	BR	VLD
201.983	2	1-back	1.0	0	n/a	n	TL	VLD
203.982	2	1-back	0.0	1	0.729	z	BR	VLD
205.981	2	1-back	1.0	1	0.815	z	TL	VLD
207.98	2	1-back	0.0	1	0.383	c	BR	VLD
209.979	2	1-back	0.0	0	0.746	g	BL	VLD
211.979	2	1-back	0.0	1	0.856	p	TL	VLD
213.978	2	1-back	0.0	1	0.427	t	TR	VLD
215.977	2	1-back	0.0	1	0.621	v	BR	VLD
217.976	2	1-back	0.0	1	0.802	f	TL	VLD
219.975	2	1-back	1.0	1	0.911	f	TR	VLD
221.974	2	1-back	0.0	1	0.544	l	BR	VLD
223.973	2	1-back	0.0	1	0.596	r	BL	VLD
225.972	2	1-back	1.0	0	0.519	r	BR	VLD
232.019	2	baseline	1.0	1	0.694	redcross.bmp	n/a	VLD
234.068	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
236.117	2	baseline	1.0	1	0.522	redcross.bmp	n/a	VLD
238.166	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
240.215	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
242.264	2	baseline	1.0	1	0.579	redcross.bmp	n/a	VLD
244.313	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
246.362	2	baseline	1.0	1	0.575	redcross.bmp	n/a	VLD
248.411	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
250.46	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
252.509	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
254.558	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
4.026	1.8	no_response	n/a	0	1.375	z	TR	VLI
5.825	1.8	no_response	n/a	0	0.842	n	BL	VLI
7.624	2	2-back	0.0	1	0.576	g	BL	VLI
9.64	2	2-back	0.0	1	0.61	p	TR	VLI
