onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	v	TR
5.825	1.8	no_response	n/a	1.0	n/a	r	BR
7.624	2.0	2-back	1.0	1.0	0.724	v	TL
9.623	2.0	2-back	0.0	0.0	n/a	g	TR
11.622	2.0	2-back	0.0	1.0	0.837	p	BL
13.621	2.0	2-back	1.0	1.0	0.806	g	BR
15.62	2.0	2-back	0.0	1.0	0.49	n	TL
17.619	2.0	2-back	0.0	1.0	0.695	x	TR
19.618	2.0	2-back	0.0	1.0	0.54	l	BR
21.618	2.0	2-back	0.0	1.0	0.487	c	TL
23.617	2.0	2-back	1.0	1.0	0.548	l	BL
25.616	2.0	2-back	1.0	0.0	0.799	c	TR
27.615	2.0	2-back	0.0	1.0	0.723	t	BR
29.614	2.0	2-back	0.0	1.0	0.989	n	TL
31.613	2.0	2-back	1.0	0.0	0.595	t	BR
33.612	2.0	2-back	0.0	1.0	0.678	f	TR
35.611	2.0	2-back	0.0	1.0	0.728	n	BR
37.61	2.0	2-back	0.0	1.0	0.594	x	TL
39.609	2.0	2-back	1.0	1.0	0.728	n	BL
41.608	2.0	2-back	0.0	1.0	0.427	r	TR
43.607	2.0	2-back	0.0	1.0	0.926	f	TL
45.606	2.0	2-back	1.0	1.0	0.83	r	BR
47.605	2.0	2-back	0.0	1.0	0.671	s	TR
49.604	2.0	2-back	0.0	1.0	0.631	v	BL
51.604	2.0	2-back	0.0	1.0	0.768	p	TL
53.603	2.0	2-back	1.0	0.0	0.502	v	TR
55.602	2.0	2-back	0.0	1.0	0.758	s	BL
57.601	2.0	2-back	0.0	1.0	0.516	p	BR
59.6	2.0	2-back	1.0	1.0	0.936	s	TR
61.599	2.0	2-back	0.0	1.0	0.685	g	BL
63.598	2.0	2-back	0.0	1.0	0.686	z	TL
65.597	2.0	2-back	0.0	0.0	0.77	r	BR
67.596	2.0	2-back	1.0	1.0	1.115	z	BL
69.595	2.0	2-back	0.0	1.0	0.598	c	BL
71.594	2.0	2-back	0.0	1.0	0.535	t	BR
73.593	2.0	2-back	1.0	0.0	0.677	c	TL
75.592	2.0	2-back	1.0	1.0	0.792	t	BL
77.591	2.0	2-back	0.0	1.0	0.64	s	BR
79.59	2.0	2-back	0.0	1.0	0.759	x	BL
81.59	2.0	2-back	0.0	1.0	0.712	f	TR
83.589	2.0	2-back	1.0	1.0	0.826	x	TR
85.588	2.0	2-back	1.0	0.0	0.67	f	BR
87.587	2.0	2-back	0.0	1.0	0.472	l	TL
89.586	2.0	2-back	0.0	1.0	0.804	p	BL
91.585	2.0	2-back	1.0	1.0	0.662	l	BL
93.584	2.0	2-back	0.0	1.0	0.54	z	TL
95.583	2.0	2-back	0.0	1.0	0.59	g	TL
97.582	2.0	2-back	1.0	1.0	0.681	z	TR
103.629	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.678	2.0	baseline	1.0	1.0	0.367	redcross.bmp	n/a
107.727	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.776	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
111.825	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.874	2.0	baseline	1.0	1.0	0.435	redcross.bmp	n/a
115.923	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.972	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.021	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.07	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.119	2.0	baseline	1.0	1.0	0.358	redcross.bmp	n/a
126.168	2.0	baseline	1.0	1.0	0.511	redcross.bmp	n/a
132.216	1.8	no_response	n/a	1.0	n/a	r	TL
134.015	2.0	1-back	1.0	1.0	0.838	r	TR
136.014	2.0	1-back	0.0	1.0	0.466	g	BR
138.013	2.0	1-back	1.0	1.0	0.74	g	TL
140.012	2.0	1-back	0.0	1.0	0.495	f	TR
142.011	2.0	1-back	0.0	1.0	0.653	t	BL
144.01	2.0	1-back	0.0	1.0	0.486	v	TL
146.009	2.0	1-back	0.0	1.0	0.468	p	TR
148.009	2.0	1-back	1.0	1.0	0.548	p	BL
150.008	2.0	1-back	0.0	1.0	0.559	z	BR
152.007	2.0	1-back	0.0	1.0	0.567	s	TR
154.006	2.0	1-back	1.0	1.0	0.522	s	BL
156.005	2.0	1-back	0.0	1.0	0.47	c	TL
158.004	2.0	1-back	1.0	1.0	0.619	c	BR
160.003	2.0	1-back	0.0	1.0	0.77	l	BR
162.002	2.0	1-back	0.0	1.0	0.61	n	BL
164.001	2.0	1-back	0.0	1.0	0.892	v	TL
166.0	2.0	1-back	1.0	1.0	0.692	v	TR
167.999	2.0	1-back	0.0	1.0	0.773	z	BR
169.998	2.0	1-back	0.0	1.0	0.665	s	TL
171.997	2.0	1-back	0.0	1.0	0.785	x	TR
173.996	2.0	1-back	1.0	1.0	0.496	x	BL
175.995	2.0	1-back	1.0	1.0	0.673	x	BR
177.995	2.0	1-back	0.0	1.0	0.725	v	TR
179.994	2.0	1-back	0.0	1.0	0.637	z	TL
181.993	2.0	1-back	1.0	1.0	0.657	z	BR
183.992	2.0	1-back	0.0	1.0	0.784	f	BL
