onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	c	TR
5.825	1.8	no_response	n/a	1.0	n/a	g	BL
7.624	2.0	2-back	1.0	1.0	0.555	c	BL
9.64	2.0	2-back	0.0	1.0	0.639	p	TR
11.656	2.0	2-back	0.0	1.0	0.637	v	TL
13.671	2.0	2-back	1.0	1.0	0.934	p	TL
15.687	2.0	2-back	0.0	1.0	0.598	s	BL
17.703	2.0	2-back	0.0	1.0	0.521	x	TR
19.719	2.0	2-back	1.0	1.0	0.752	s	TR
21.734	2.0	2-back	1.0	1.0	0.793	x	TL
23.75	2.0	2-back	0.0	1.0	0.509	n	BR
25.766	2.0	2-back	0.0	1.0	0.82	f	BL
27.781	2.0	2-back	1.0	0.0	0.685	n	TL
29.797	2.0	2-back	0.0	1.0	0.862	t	TL
31.813	2.0	2-back	0.0	1.0	0.702	l	TR
33.829	2.0	2-back	0.0	1.0	0.65	r	BR
35.844	2.0	2-back	1.0	0.0	0.743	l	TL
37.86	2.0	2-back	0.0	1.0	0.642	z	TL
39.876	2.0	2-back	0.0	1.0	0.561	v	BL
41.892	2.0	2-back	0.0	1.0	0.497	t	BR
43.907	2.0	2-back	0.0	1.0	0.786	g	TL
45.923	2.0	2-back	1.0	1.0	0.785	t	BL
47.939	2.0	2-back	0.0	1.0	0.67	f	BR
49.954	2.0	2-back	0.0	1.0	0.755	r	BR
51.97	2.0	2-back	1.0	1.0	1.005	f	TR
53.986	2.0	2-back	0.0	1.0	0.758	z	BL
56.002	2.0	2-back	0.0	1.0	1.093	c	BR
58.017	2.0	2-back	0.0	1.0	0.782	g	TR
60.033	2.0	2-back	1.0	1.0	0.697	c	BL
62.049	2.0	2-back	0.0	1.0	0.609	p	BR
64.065	2.0	2-back	0.0	1.0	0.695	v	BR
66.08	2.0	2-back	1.0	1.0	0.55	p	TR
68.096	2.0	2-back	0.0	1.0	0.461	s	TL
70.112	2.0	2-back	0.0	1.0	0.842	t	BR
72.127	2.0	2-back	1.0	0.0	0.874	s	TR
74.143	2.0	2-back	0.0	1.0	0.779	r	TL
76.159	2.0	2-back	0.0	1.0	0.701	z	BL
78.175	2.0	2-back	1.0	1.0	0.738	r	TR
80.19	2.0	2-back	1.0	0.0	0.658	z	BR
82.206	2.0	2-back	0.0	1.0	0.589	n	TL
84.222	2.0	2-back	0.0	1.0	0.645	g	TR
86.238	2.0	2-back	1.0	0.0	0.667	n	BL
88.253	2.0	2-back	0.0	1.0	0.547	x	BR
90.269	2.0	2-back	0.0	1.0	0.668	v	TR
92.285	2.0	2-back	1.0	1.0	0.88	x	BL
94.3	2.0	2-back	0.0	1.0	0.668	l	BL
96.316	2.0	2-back	0.0	1.0	0.773	f	TL
98.332	2.0	2-back	1.0	1.0	0.708	l	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.375	redcross.bmp	n/a
108.494	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.543	2.0	baseline	1.0	1.0	0.357	redcross.bmp	n/a
112.592	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.739	2.0	baseline	1.0	1.0	0.371	redcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	1.0	1.0	0.552	redcross.bmp	n/a
124.886	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.982	1.8	no_response	n/a	1.0	n/a	v	TR
134.782	2.0	1-back	1.0	1.0	0.777	v	BL
136.797	2.0	1-back	0.0	1.0	0.607	p	TR
138.813	2.0	1-back	0.0	1.0	0.792	g	BL
