onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	0.799	v	TR
5.825	1.8	no_response	n/a	1.0	n/a	r	BR
7.624	2.0	2-back	1.0	1.0	0.718	v	TL
9.623	2.0	2-back	0.0	1.0	0.585	g	TR
11.622	2.0	2-back	0.0	1.0	0.707	p	BL
13.621	2.0	2-back	1.0	0.0	0.767	g	BR
15.62	2.0	2-back	0.0	1.0	0.651	n	TL
17.62	2.0	2-back	0.0	1.0	0.775	x	TR
19.619	2.0	2-back	0.0	1.0	0.783	l	BR
21.618	2.0	2-back	0.0	1.0	0.678	c	TL
23.617	2.0	2-back	1.0	1.0	0.926	l	BL
25.616	2.0	2-back	1.0	1.0	1.058	c	TR
27.615	2.0	2-back	0.0	1.0	0.544	t	BR
29.614	2.0	2-back	0.0	1.0	0.66	n	TL
31.613	2.0	2-back	1.0	0.0	0.683	t	BR
33.612	2.0	2-back	0.0	1.0	0.822	f	TR
35.611	2.0	2-back	0.0	1.0	0.757	n	BR
37.61	2.0	2-back	0.0	1.0	0.897	x	TL
39.609	2.0	2-back	1.0	1.0	0.584	n	BL
41.608	2.0	2-back	0.0	1.0	0.435	r	TR
43.607	2.0	2-back	0.0	1.0	0.551	f	TL
45.606	2.0	2-back	1.0	1.0	0.997	r	BR
47.606	2.0	2-back	0.0	1.0	0.664	s	TR
49.605	2.0	2-back	0.0	1.0	0.699	v	BL
51.604	2.0	2-back	0.0	1.0	0.762	p	TL
53.603	2.0	2-back	1.0	0.0	1.032	v	TR
55.602	2.0	2-back	0.0	1.0	1.003	s	BL
57.601	2.0	2-back	0.0	0.0	0.718	p	BR
59.6	2.0	2-back	1.0	0.0	0.859	s	TR
61.599	2.0	2-back	0.0	1.0	1.024	g	BL
63.598	2.0	2-back	0.0	1.0	0.748	z	TL
65.597	2.0	2-back	0.0	1.0	0.709	r	BR
67.596	2.0	2-back	1.0	0.0	1.172	z	BL
69.595	2.0	2-back	0.0	1.0	0.879	c	BL
71.594	2.0	2-back	0.0	1.0	0.77	t	BR
73.593	2.0	2-back	1.0	0.0	0.832	c	TL
75.592	2.0	2-back	1.0	0.0	0.883	t	BL
77.592	2.0	2-back	0.0	1.0	0.958	s	BR
79.591	2.0	2-back	0.0	1.0	0.865	x	BL
81.59	2.0	2-back	0.0	1.0	0.739	f	TR
83.589	2.0	2-back	1.0	1.0	0.975	x	TR
85.588	2.0	2-back	1.0	1.0	1.172	f	BR
87.587	2.0	2-back	0.0	1.0	0.809	l	TL
89.586	2.0	2-back	0.0	1.0	0.642	p	BL
91.585	2.0	2-back	1.0	1.0	0.708	l	BL
93.584	2.0	2-back	0.0	1.0	0.881	z	TL
95.583	2.0	2-back	0.0	1.0	0.908	g	TL
97.582	2.0	2-back	1.0	0.0	0.937	z	TR
